File Name: 0:\GARMIN\EVNTLOGS/0000001D.TXT


>>>>> EVL_CURR_LOGS <<<<<

verNum:     8/13/2014 (00)
ownerID:    00000002
OwnerName:  HWM
status:     01
pri_thresh:  4
archived:   00
max_arch:   00
num_recs:   80
rec_size:   40
next_evnt:  4F
timeDay:    2018/ 2/ 9 18:35:12 
cycle_cnt:  7

4F: D3 10 00 00 208:06:24.380 HWM main (Loc:2018/ 1/30 15:26:08 ) (UTC:2018/ 1/30 14:26:08 ) D:1
50: D3 10 00 00 208:11:21.709 HWM main (Loc:2018/ 1/30 15:31:05 ) (UTC:2018/ 1/30 14:31:05 ) D:1
51: D3 10 00 00 208:18:43.764 HWM main (Loc:2018/ 1/30 15:38:27 ) (UTC:2018/ 1/30 14:38:27 ) D:1
52: D3 10 00 00 209:58:55.144 HWM main (Loc:2018/ 1/30 17:18:39 ) (UTC:2018/ 1/30 16:18:39 ) D:1
53: D3 10 00 00 215:50:40.574 HWM main (Loc:2018/ 1/30 23:10:24 ) (UTC:2018/ 1/30 22:10:24 ) D:1
54: D3 10 00 00 225:30:54.218 HWM main (Loc:2018/ 1/31  8:50:38 ) (UTC:2018/ 1/31  7:50:38 ) D:1
55: D3 10 00 00 227:40:12.187 HWM main (Loc:2018/ 1/31 10:59:56 ) (UTC:2018/ 1/31  9:59:56 ) D:1
56: D3 10 00 00 230:57:24.854 HWM main (Loc:2018/ 1/31 14:17:09 ) (UTC:2018/ 1/31 13:17:09 ) D:1
57: D3 10 00 00 239:37:39.965 HWM main (Loc:2018/ 1/31 22:57:24 ) (UTC:2018/ 1/31 21:57:24 ) D:1
58: D3 10 00 00 241:21:13.207 HWM main (Loc:2018/ 2/ 1  0:40:57 ) (UTC:2018/ 1/31 23:40:57 ) D:1
59: D3 10 00 00 242:06:07.677 HWM main (Loc:2018/ 2/ 1  1:25:51 ) (UTC:2018/ 2/ 1  0:25:51 ) D:1
5A: D3 10 00 00 254:12:12.102 HWM main (Loc:2018/ 2/ 1 13:31:56 ) (UTC:2018/ 2/ 1 12:31:56 ) D:1
5B: D3 10 00 00 262:25:40.433 HWM main (Loc:2018/ 2/ 1 21:45:24 ) (UTC:2018/ 2/ 1 20:45:24 ) D:1
5C: D3 10 00 00 263:49:27.566 HWM main (Loc:2018/ 2/ 1 23:09:11 ) (UTC:2018/ 2/ 1 22:09:11 ) D:1
5D: D3 10 00 00 273:19:41.922 HWM main (Loc:2018/ 2/ 2  8:39:26 ) (UTC:2018/ 2/ 2  7:39:26 ) D:1
5E: D3 10 00 00 278:07:27.757 HWM main (Loc:2018/ 2/ 2 13:27:11 ) (UTC:2018/ 2/ 2 12:27:11 ) D:1
5F: D3 10 00 00 280:57:51.601 HWM main (Loc:2018/ 2/ 2 16:17:35 ) (UTC:2018/ 2/ 2 15:17:35 ) D:1
60: D3 10 00 00 297:39:51.113 HWM main (Loc:2018/ 2/ 3  8:59:35 ) (UTC:2018/ 2/ 3  7:59:35 ) D:1
61: D3 10 00 00 298:52:15.233 HWM main (Loc:2018/ 2/ 3 10:11:59 ) (UTC:2018/ 2/ 3  9:11:59 ) D:1
62: D3 10 00 00 298:54:10.526 HWM main (Loc:2018/ 2/ 3 10:13:54 ) (UTC:2018/ 2/ 3  9:13:54 ) D:1
63: D3 10 00 00 301:09:59.944 HWM main (Loc:2018/ 2/ 3 12:29:45 ) (UTC:2018/ 2/ 3 11:29:45 ) D:1
